CurrentDateTime,RSSI,RSRP,RSRQ,RSSNR,CQI,TA,Level,ANDRO_ID,Bitrate (DataSource),Bitrate (Mpd),Resolution (Displayed),Resolution (Mpd),Rebuffering (Last),Segment Size,State Current
2024-02-14T15:40:43.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6182,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:44.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6182,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:45.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6783,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:46.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6783,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:47.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7424,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:48.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7424,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:49.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7708,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:50.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7708,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:51.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7708,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:52.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7708,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:53.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7975,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:54.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7975,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:55.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7975,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:56.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9309,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:57.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,9309,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:58.408,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8341,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:59.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,8341,4375,1920x1080,1920x1080,962,2.0,STATE_READY
